# Force coefficients
# liftDir     : (0.000000e+00 1.000000e+00 0.000000e+00)
# dragDir     : (1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis   : (0.000000e+00 0.000000e+00 1.000000e+00)
# magUInf     : 1.000000e+01
# lRef        : 4.000000e+00
# Aref        : 1.000000e+00
# CofR        : (3.500000e+00 0.000000e+00 0.000000e+00)
#
# Time        	Cm            	Cd            	Cl            	Cl(f)         	Cl(r)         
22            	-1.279293e-01	6.318694e-01	3.513851e-01	4.776327e-02	3.036218e-01
23            	-1.215704e-01	6.278172e-01	3.993675e-01	7.811335e-02	3.212541e-01
24            	-1.046584e-01	5.559895e-01	4.505337e-01	1.206084e-01	3.299253e-01
25            	-7.777094e-02	4.203384e-01	4.576018e-01	1.510300e-01	3.065718e-01
26            	-5.480786e-02	2.821427e-01	4.215312e-01	1.559577e-01	2.655734e-01
27            	-6.188921e-02	2.977854e-01	3.825370e-01	1.293793e-01	2.531577e-01
28            	-7.311604e-02	3.490415e-01	3.667807e-01	1.102743e-01	2.565064e-01
29            	-9.173680e-02	4.484953e-01	3.813135e-01	9.891997e-02	2.823936e-01
30            	-1.059096e-01	5.276844e-01	4.320415e-01	1.101112e-01	3.219303e-01
31            	-1.048713e-01	5.096738e-01	4.479091e-01	1.190833e-01	3.288258e-01
32            	-9.903114e-02	4.581307e-01	4.379699e-01	1.199538e-01	3.180161e-01
33            	-8.553476e-02	3.769403e-01	4.048063e-01	1.168684e-01	2.879379e-01
34            	-7.981066e-02	3.518710e-01	3.757964e-01	1.080875e-01	2.677088e-01
35            	-8.002296e-02	3.663609e-01	3.755639e-01	1.077590e-01	2.678049e-01
36            	-8.309984e-02	3.895981e-01	3.970002e-01	1.154003e-01	2.815999e-01
37            	-9.357997e-02	4.356765e-01	4.242515e-01	1.185458e-01	3.057057e-01
38            	-9.973304e-02	4.513494e-01	4.308825e-01	1.157082e-01	3.151743e-01
39            	-1.006217e-01	4.455600e-01	4.197412e-01	1.092489e-01	3.104924e-01
40            	-9.906125e-02	4.380597e-01	4.075890e-01	1.047333e-01	3.028558e-01
41            	-9.301965e-02	4.145075e-01	3.950337e-01	1.044972e-01	2.905365e-01
42            	-8.885120e-02	4.012559e-01	3.982504e-01	1.102740e-01	2.879764e-01
43            	-8.867157e-02	4.007009e-01	4.082406e-01	1.154487e-01	2.927919e-01
44            	-8.983956e-02	4.010525e-01	4.129841e-01	1.166525e-01	2.963316e-01
45            	-9.198687e-02	4.037796e-01	4.136543e-01	1.148403e-01	2.988140e-01
46            	-9.817093e-02	4.270882e-01	4.100688e-01	1.068634e-01	3.032053e-01
47            	-9.785417e-02	4.275517e-01	4.069481e-01	1.056199e-01	3.013282e-01
48            	-9.664173e-02	4.259581e-01	4.066063e-01	1.066614e-01	2.999449e-01
49            	-9.533816e-02	4.235211e-01	4.075146e-01	1.084192e-01	2.990955e-01
50            	-9.404008e-02	4.185524e-01	4.100657e-01	1.109928e-01	2.990730e-01
51            	-9.351622e-02	4.116607e-01	4.114147e-01	1.121912e-01	2.992236e-01
52            	-9.405648e-02	4.076233e-01	4.085149e-01	1.102010e-01	2.983139e-01
53            	-9.456604e-02	4.061066e-01	4.049328e-01	1.079004e-01	2.970325e-01
54            	-9.473778e-02	4.052619e-01	4.013332e-01	1.059288e-01	2.954044e-01
55            	-9.513698e-02	4.076598e-01	3.969302e-01	1.033281e-01	2.936021e-01
56            	-9.711313e-02	4.205299e-01	3.995269e-01	1.026503e-01	2.968766e-01
57            	-9.714331e-02	4.208281e-01	4.005928e-01	1.031531e-01	2.974397e-01
58            	-9.737238e-02	4.200487e-01	4.009359e-01	1.030956e-01	2.978403e-01
59            	-9.768311e-02	4.170300e-01	3.990321e-01	1.018329e-01	2.971991e-01
60            	-9.762968e-02	4.116222e-01	3.946100e-01	9.967535e-02	2.949347e-01
61            	-9.746933e-02	4.084085e-01	3.901809e-01	9.762111e-02	2.925598e-01
62            	-9.732344e-02	4.075032e-01	3.879794e-01	9.666625e-02	2.913131e-01
63            	-9.717120e-02	4.069596e-01	3.858469e-01	9.575225e-02	2.900946e-01
64            	-9.745836e-02	4.079331e-01	3.826442e-01	9.386374e-02	2.887805e-01
65            	-9.848810e-02	4.112808e-01	3.799474e-01	9.148558e-02	2.884618e-01
66            	-9.954276e-02	4.139127e-01	3.789977e-01	8.995611e-02	2.890416e-01
67            	-1.001383e-01	4.144931e-01	3.778111e-01	8.876725e-02	2.890439e-01
68            	-1.008599e-01	4.149061e-01	3.749855e-01	8.663283e-02	2.883527e-01
69            	-1.015557e-01	4.151189e-01	3.703104e-01	8.359952e-02	2.867109e-01
70            	-1.014094e-01	4.126135e-01	3.646957e-01	8.093850e-02	2.837572e-01
71            	-1.012280e-01	4.117947e-01	3.635415e-01	8.054273e-02	2.829987e-01
72            	-1.010168e-01	4.106401e-01	3.625696e-01	8.026798e-02	2.823016e-01
73            	-1.009635e-01	4.091871e-01	3.606227e-01	7.934791e-02	2.812748e-01
74            	-1.011749e-01	4.080704e-01	3.575826e-01	7.761640e-02	2.799661e-01
75            	-1.015585e-01	4.077217e-01	3.541744e-01	7.552876e-02	2.786457e-01
76            	-1.020255e-01	4.082974e-01	3.509046e-01	7.342676e-02	2.774778e-01
77            	-1.025877e-01	4.100676e-01	3.481256e-01	7.147515e-02	2.766505e-01
78            	-1.030720e-01	4.124444e-01	3.469809e-01	7.041845e-02	2.765624e-01
79            	-1.032619e-01	4.137460e-01	3.471398e-01	7.030803e-02	2.768318e-01
80            	-1.033249e-01	4.140217e-01	3.471005e-01	7.022533e-02	2.768752e-01
81            	-1.033862e-01	4.137657e-01	3.463724e-01	6.979997e-02	2.765724e-01
82            	-1.034420e-01	4.130436e-01	3.447579e-01	6.893695e-02	2.758210e-01
83            	-1.034129e-01	4.119058e-01	3.425859e-01	6.788007e-02	2.747058e-01
84            	-1.032346e-01	4.106672e-01	3.408170e-01	6.717389e-02	2.736431e-01
85            	-1.029650e-01	4.097578e-01	3.400842e-01	6.707706e-02	2.730071e-01
86            	-1.026777e-01	4.091886e-01	3.401162e-01	6.738037e-02	2.727358e-01
87            	-1.024048e-01	4.088705e-01	3.406393e-01	6.791482e-02	2.727245e-01
88            	-1.022015e-01	4.088712e-01	3.414857e-01	6.854139e-02	2.729443e-01
89            	-1.021340e-01	4.093209e-01	3.424569e-01	6.909447e-02	2.733624e-01
90            	-1.022206e-01	4.102500e-01	3.433653e-01	6.946203e-02	2.739033e-01
91            	-1.023287e-01	4.111147e-01	3.440692e-01	6.970589e-02	2.743633e-01
92            	-1.023578e-01	4.116093e-01	3.445377e-01	6.991105e-02	2.746266e-01
93            	-1.022935e-01	4.118371e-01	3.449447e-01	7.017885e-02	2.747659e-01
94            	-1.021215e-01	4.117840e-01	3.454618e-01	7.060941e-02	2.748524e-01
95            	-1.018636e-01	4.115294e-01	3.462152e-01	7.124399e-02	2.749712e-01
96            	-1.015561e-01	4.111352e-01	3.472335e-01	7.206061e-02	2.751729e-01
97            	-1.012470e-01	4.106995e-01	3.484708e-01	7.298845e-02	2.754824e-01
98            	-1.009667e-01	4.102888e-01	3.498886e-01	7.397761e-02	2.759109e-01
99            	-1.007423e-01	4.100344e-01	3.513370e-01	7.492619e-02	2.764108e-01
100           	-1.005901e-01	4.099059e-01	3.526171e-01	7.571844e-02	2.768986e-01
101           	-1.004796e-01	4.097873e-01	3.533924e-01	7.621660e-02	2.771758e-01
102           	-1.003721e-01	4.096125e-01	3.537828e-01	7.651930e-02	2.772635e-01
103           	-1.002318e-01	4.093605e-01	3.541031e-01	7.681971e-02	2.772834e-01
104           	-1.000434e-01	4.090167e-01	3.545413e-01	7.722721e-02	2.773141e-01
105           	-9.980631e-02	4.085488e-01	3.551853e-01	7.778632e-02	2.773989e-01
106           	-9.955191e-02	4.080094e-01	3.560159e-01	7.845605e-02	2.775599e-01
107           	-9.932794e-02	4.075136e-01	3.569318e-01	7.913795e-02	2.777938e-01
108           	-9.917669e-02	4.071805e-01	3.577886e-01	7.971759e-02	2.780710e-01
109           	-9.911395e-02	4.070663e-01	3.584662e-01	8.011917e-02	2.783471e-01
110           	-9.912658e-02	4.071493e-01	3.589080e-01	8.032740e-02	2.785806e-01
111           	-9.918681e-02	4.073668e-01	3.590937e-01	8.036004e-02	2.787337e-01
112           	-9.925317e-02	4.075997e-01	3.590712e-01	8.028243e-02	2.787888e-01
113           	-9.928838e-02	4.077207e-01	3.589278e-01	8.017553e-02	2.787523e-01
114           	-9.927491e-02	4.076486e-01	3.587509e-01	8.010056e-02	2.786504e-01
115           	-9.921779e-02	4.073702e-01	3.585931e-01	8.007874e-02	2.785143e-01
116           	-9.913813e-02	4.069337e-01	3.584586e-01	8.009116e-02	2.783674e-01
117           	-9.906620e-02	4.064480e-01	3.583161e-01	8.009188e-02	2.782243e-01
118           	-9.901560e-02	4.059775e-01	3.581287e-01	8.004875e-02	2.780799e-01
119           	-9.899498e-02	4.055954e-01	3.578712e-01	7.994063e-02	2.779306e-01
120           	-9.900054e-02	4.053206e-01	3.575390e-01	7.976896e-02	2.777700e-01
121           	-9.902462e-02	4.051408e-01	3.571400e-01	7.954540e-02	2.775946e-01
122           	-9.906171e-02	4.050379e-01	3.566897e-01	7.928315e-02	2.774066e-01
123           	-9.911011e-02	4.050000e-01	3.562068e-01	7.899328e-02	2.772135e-01
124           	-9.916984e-02	4.050184e-01	3.557125e-01	7.868642e-02	2.770261e-01
125           	-9.923786e-02	4.050732e-01	3.552310e-01	7.837767e-02	2.768534e-01
126           	-9.930809e-02	4.051348e-01	3.547774e-01	7.808061e-02	2.766968e-01
127           	-9.937442e-02	4.051755e-01	3.543475e-01	7.779931e-02	2.765482e-01
128           	-9.943237e-02	4.051762e-01	3.539262e-01	7.753075e-02	2.763955e-01
129           	-9.947868e-02	4.051271e-01	3.535017e-01	7.727217e-02	2.762295e-01
130           	-9.951066e-02	4.050260e-01	3.530749e-01	7.702680e-02	2.760481e-01
131           	-9.952735e-02	4.048805e-01	3.526563e-01	7.680079e-02	2.758555e-01
132           	-9.953039e-02	4.047076e-01	3.522600e-01	7.659959e-02	2.756604e-01
133           	-9.952393e-02	4.045315e-01	3.518993e-01	7.642574e-02	2.754736e-01
134           	-9.951389e-02	4.043798e-01	3.515849e-01	7.627854e-02	2.753063e-01
135           	-9.950273e-02	4.042596e-01	3.513272e-01	7.616088e-02	2.751663e-01
136           	-9.949583e-02	4.041942e-01	3.511334e-01	7.607086e-02	2.750625e-01
137           	-9.949222e-02	4.041768e-01	3.510122e-01	7.601386e-02	2.749983e-01
138           	-9.948673e-02	4.041791e-01	3.509631e-01	7.599481e-02	2.749683e-01
139           	-9.947643e-02	4.041822e-01	3.509699e-01	7.600851e-02	2.749614e-01
140           	-9.945304e-02	4.041389e-01	3.510098e-01	7.605188e-02	2.749580e-01
141           	-9.941492e-02	4.040397e-01	3.510643e-01	7.611723e-02	2.749471e-01
142           	-9.936262e-02	4.038901e-01	3.511264e-01	7.620059e-02	2.749258e-01
143           	-9.930068e-02	4.037175e-01	3.511996e-01	7.629910e-02	2.749005e-01
144           	-9.923055e-02	4.035313e-01	3.512958e-01	7.641734e-02	2.748784e-01
145           	-9.915748e-02	4.033554e-01	3.514244e-01	7.655474e-02	2.748697e-01
146           	-9.908710e-02	4.032120e-01	3.515901e-01	7.670796e-02	2.748822e-01
147           	-9.902204e-02	4.031067e-01	3.517931e-01	7.687449e-02	2.749186e-01
148           	-9.896404e-02	4.030411e-01	3.520286e-01	7.705028e-02	2.749784e-01
149           	-9.891036e-02	4.029953e-01	3.522883e-01	7.723380e-02	2.750545e-01
150           	-9.886031e-02	4.029603e-01	3.525571e-01	7.741826e-02	2.751389e-01
151           	-9.881102e-02	4.029201e-01	3.528216e-01	7.759978e-02	2.752218e-01
152           	-9.876041e-02	4.028646e-01	3.530716e-01	7.777536e-02	2.752962e-01
153           	-9.870610e-02	4.027842e-01	3.533033e-01	7.794555e-02	2.753577e-01
154           	-9.864751e-02	4.026774e-01	3.535164e-01	7.811069e-02	2.754057e-01
155           	-9.858489e-02	4.025458e-01	3.537129e-01	7.827157e-02	2.754414e-01
156           	-9.851939e-02	4.023931e-01	3.538953e-01	7.842828e-02	2.754671e-01
157           	-9.845060e-02	4.022141e-01	3.540656e-01	7.858218e-02	2.754834e-01
158           	-9.838231e-02	4.020246e-01	3.542227e-01	7.872904e-02	2.754937e-01
159           	-9.831635e-02	4.018306e-01	3.543650e-01	7.886616e-02	2.754989e-01
160           	-9.825763e-02	4.016548e-01	3.544886e-01	7.898669e-02	2.755019e-01
161           	-9.820436e-02	4.014868e-01	3.545918e-01	7.909153e-02	2.755002e-01
162           	-9.815740e-02	4.013307e-01	3.546704e-01	7.917781e-02	2.754926e-01
163           	-9.811738e-02	4.011901e-01	3.547208e-01	7.924300e-02	2.754778e-01
164           	-9.808483e-02	4.010690e-01	3.547407e-01	7.928551e-02	2.754552e-01
165           	-9.806030e-02	4.009714e-01	3.547300e-01	7.930468e-02	2.754253e-01
166           	-9.804428e-02	4.009001e-01	3.546905e-01	7.930098e-02	2.753895e-01
167           	-9.803659e-02	4.008540e-01	3.546261e-01	7.927646e-02	2.753496e-01
168           	-9.803548e-02	4.008240e-01	3.545417e-01	7.923539e-02	2.753064e-01
169           	-9.803744e-02	4.007935e-01	3.544422e-01	7.918364e-02	2.752585e-01
170           	-9.803857e-02	4.007453e-01	3.543292e-01	7.912603e-02	2.752032e-01
171           	-9.803626e-02	4.006692e-01	3.542010e-01	7.906424e-02	2.751368e-01
172           	-9.802986e-02	4.005649e-01	3.540545e-01	7.899741e-02	2.750571e-01
173           	-9.801928e-02	4.004346e-01	3.538881e-01	7.892476e-02	2.749633e-01
174           	-9.800520e-02	4.002839e-01	3.537024e-01	7.884599e-02	2.748564e-01
175           	-9.798884e-02	4.001205e-01	3.535008e-01	7.876158e-02	2.747393e-01
176           	-9.797160e-02	3.999531e-01	3.532896e-01	7.867320e-02	2.746164e-01
177           	-9.795491e-02	3.997902e-01	3.530753e-01	7.858274e-02	2.744926e-01
178           	-9.794012e-02	3.996395e-01	3.528635e-01	7.849161e-02	2.743719e-01
179           	-9.792834e-02	3.995068e-01	3.526576e-01	7.840044e-02	2.742571e-01
180           	-9.792041e-02	3.993966e-01	3.524588e-01	7.830900e-02	2.741498e-01
181           	-9.791686e-02	3.993120e-01	3.522677e-01	7.821697e-02	2.740507e-01
182           	-9.791757e-02	3.992535e-01	3.520852e-01	7.812501e-02	2.739602e-01
183           	-9.792127e-02	3.992165e-01	3.519143e-01	7.803588e-02	2.738784e-01
184           	-9.792518e-02	3.991890e-01	3.517587e-01	7.795417e-02	2.738045e-01
185           	-9.792611e-02	3.991557e-01	3.516193e-01	7.788355e-02	2.737358e-01
186           	-9.792222e-02	3.991060e-01	3.514919e-01	7.782373e-02	2.736682e-01
187           	-9.791327e-02	3.990367e-01	3.513697e-01	7.777157e-02	2.735981e-01
188           	-9.789971e-02	3.989498e-01	3.512481e-01	7.772433e-02	2.735237e-01
189           	-9.788180e-02	3.988483e-01	3.511270e-01	7.768169e-02	2.734453e-01
190           	-9.785948e-02	3.987347e-01	3.510105e-01	7.764576e-02	2.733647e-01
191           	-9.783258e-02	3.986113e-01	3.509050e-01	7.761993e-02	2.732851e-01
192           	-9.780252e-02	3.984870e-01	3.508177e-01	7.760634e-02	2.732114e-01
193           	-9.776941e-02	3.983614e-01	3.507531e-01	7.760715e-02	2.731460e-01
194           	-9.773468e-02	3.982388e-01	3.507118e-01	7.762123e-02	2.730906e-01
195           	-9.769988e-02	3.981235e-01	3.506908e-01	7.764553e-02	2.730453e-01
196           	-9.766623e-02	3.980186e-01	3.506852e-01	7.767639e-02	2.730088e-01
197           	-9.763427e-02	3.979253e-01	3.506900e-01	7.771073e-02	2.729793e-01
198           	-9.760387e-02	3.978424e-01	3.507009e-01	7.774660e-02	2.729543e-01
199           	-9.757427e-02	3.977663e-01	3.507153e-01	7.778336e-02	2.729319e-01
200           	-9.754439e-02	3.976919e-01	3.507317e-01	7.782146e-02	2.729102e-01
201           	-9.751315e-02	3.976140e-01	3.507503e-01	7.786198e-02	2.728883e-01
202           	-9.747983e-02	3.975284e-01	3.507717e-01	7.790603e-02	2.728657e-01
203           	-9.744420e-02	3.974330e-01	3.507968e-01	7.795418e-02	2.728426e-01
204           	-9.740651e-02	3.973282e-01	3.508254e-01	7.800620e-02	2.728192e-01
205           	-9.736736e-02	3.972156e-01	3.508569e-01	7.806108e-02	2.727958e-01
206           	-9.732754e-02	3.970983e-01	3.508895e-01	7.811722e-02	2.727723e-01
207           	-9.728777e-02	3.969790e-01	3.509214e-01	7.817295e-02	2.727485e-01
208           	-9.724860e-02	3.968602e-01	3.509509e-01	7.822686e-02	2.727241e-01
209           	-9.721037e-02	3.967434e-01	3.509768e-01	7.827805e-02	2.726988e-01
210           	-9.717321e-02	3.966290e-01	3.509986e-01	7.832606e-02	2.726725e-01
211           	-9.713718e-02	3.965171e-01	3.510157e-01	7.837066e-02	2.726450e-01
212           	-9.710228e-02	3.964071e-01	3.510279e-01	7.841167e-02	2.726162e-01
213           	-9.706857e-02	3.962987e-01	3.510348e-01	7.844881e-02	2.725859e-01
214           	-9.703614e-02	3.961915e-01	3.510355e-01	7.848161e-02	2.725539e-01
215           	-9.700509e-02	3.960856e-01	3.510293e-01	7.850955e-02	2.725197e-01
216           	-9.697553e-02	3.959812e-01	3.510155e-01	7.853220e-02	2.724833e-01
217           	-9.694754e-02	3.958787e-01	3.509937e-01	7.854931e-02	2.724444e-01
218           	-9.692114e-02	3.957785e-01	3.509642e-01	7.856093e-02	2.724032e-01
219           	-9.689627e-02	3.956805e-01	3.509275e-01	7.856746e-02	2.723600e-01
220           	-9.687269e-02	3.955843e-01	3.508844e-01	7.856950e-02	2.723149e-01
221           	-9.685011e-02	3.954888e-01	3.508355e-01	7.856766e-02	2.722679e-01
222           	-9.682819e-02	3.953930e-01	3.507812e-01	7.856239e-02	2.722188e-01
223           	-9.680665e-02	3.952957e-01	3.507211e-01	7.855389e-02	2.721672e-01
224           	-9.678527e-02	3.951961e-01	3.506552e-01	7.854233e-02	2.721129e-01
225           	-9.676352e-02	3.950918e-01	3.505835e-01	7.852820e-02	2.720552e-01
226           	-9.674182e-02	3.949853e-01	3.505063e-01	7.851130e-02	2.719949e-01
227           	-9.672021e-02	3.948775e-01	3.504245e-01	7.849202e-02	2.719324e-01
228           	-9.669876e-02	3.947691e-01	3.503392e-01	7.847086e-02	2.718684e-01
229           	-9.667761e-02	3.946615e-01	3.502518e-01	7.844831e-02	2.718035e-01
230           	-9.665690e-02	3.945557e-01	3.501635e-01	7.842486e-02	2.717386e-01
231           	-9.663677e-02	3.944530e-01	3.500753e-01	7.840088e-02	2.716744e-01
232           	-9.661734e-02	3.943542e-01	3.499880e-01	7.837668e-02	2.716114e-01
233           	-9.659858e-02	3.942594e-01	3.499021e-01	7.835249e-02	2.715497e-01
234           	-9.658037e-02	3.941682e-01	3.498177e-01	7.832847e-02	2.714892e-01
235           	-9.656246e-02	3.940793e-01	3.497345e-01	7.830481e-02	2.714297e-01
236           	-9.654455e-02	3.939916e-01	3.496526e-01	7.828173e-02	2.713708e-01
237           	-9.652631e-02	3.939037e-01	3.495717e-01	7.825954e-02	2.713122e-01
238           	-9.650671e-02	3.938110e-01	3.494938e-01	7.824020e-02	2.712536e-01
239           	-9.648651e-02	3.937175e-01	3.494160e-01	7.822152e-02	2.711945e-01
240           	-9.646555e-02	3.936230e-01	3.493394e-01	7.820414e-02	2.711352e-01
241           	-9.644378e-02	3.935277e-01	3.492653e-01	7.818889e-02	2.710765e-01
242           	-9.642120e-02	3.934320e-01	3.491953e-01	7.817644e-02	2.710188e-01
243           	-9.639791e-02	3.933361e-01	3.491301e-01	7.816715e-02	2.709630e-01
244           	-9.637403e-02	3.932406e-01	3.490702e-01	7.816109e-02	2.709091e-01
245           	-9.634975e-02	3.931461e-01	3.490157e-01	7.815807e-02	2.708576e-01
246           	-9.632525e-02	3.930531e-01	3.489660e-01	7.815777e-02	2.708083e-01
247           	-9.630065e-02	3.929621e-01	3.489209e-01	7.815981e-02	2.707611e-01
248           	-9.627600e-02	3.928732e-01	3.488797e-01	7.816383e-02	2.707158e-01
249           	-9.625075e-02	3.927835e-01	3.488414e-01	7.816995e-02	2.706715e-01
250           	-9.622501e-02	3.926936e-01	3.488062e-01	7.817808e-02	2.706281e-01
251           	-9.619840e-02	3.926015e-01	3.487744e-01	7.818882e-02	2.705856e-01
252           	-9.617057e-02	3.925050e-01	3.487470e-01	7.820292e-02	2.705441e-01
253           	-9.614135e-02	3.924026e-01	3.487239e-01	7.822060e-02	2.705033e-01
254           	-9.611089e-02	3.922947e-01	3.487042e-01	7.824122e-02	2.704630e-01
255           	-9.607970e-02	3.921836e-01	3.486864e-01	7.826348e-02	2.704229e-01
256           	-9.604811e-02	3.920713e-01	3.486689e-01	7.828634e-02	2.703826e-01
257           	-9.601648e-02	3.919599e-01	3.486509e-01	7.830896e-02	2.703419e-01
258           	-9.598519e-02	3.918513e-01	3.486320e-01	7.833081e-02	2.703012e-01
259           	-9.595466e-02	3.917475e-01	3.486126e-01	7.835164e-02	2.702610e-01
260           	-9.592514e-02	3.916492e-01	3.485934e-01	7.837155e-02	2.702218e-01
261           	-9.589698e-02	3.915572e-01	3.485752e-01	7.839064e-02	2.701846e-01
262           	-9.587016e-02	3.914707e-01	3.485587e-01	7.840920e-02	2.701495e-01
263           	-9.584438e-02	3.913873e-01	3.485437e-01	7.842748e-02	2.701162e-01
264           	-9.581910e-02	3.913040e-01	3.485293e-01	7.844554e-02	2.700837e-01
265           	-9.579371e-02	3.912179e-01	3.485138e-01	7.846321e-02	2.700506e-01
266           	-9.576770e-02	3.911270e-01	3.484958e-01	7.848018e-02	2.700156e-01
267           	-9.574075e-02	3.910304e-01	3.484738e-01	7.849617e-02	2.699777e-01
268           	-9.571278e-02	3.909280e-01	3.484475e-01	7.851096e-02	2.699365e-01
269           	-9.568396e-02	3.908210e-01	3.484169e-01	7.852449e-02	2.698924e-01
270           	-9.565469e-02	3.907111e-01	3.483831e-01	7.853685e-02	2.698462e-01
271           	-9.562548e-02	3.906006e-01	3.483474e-01	7.854824e-02	2.697992e-01
272           	-9.559682e-02	3.904915e-01	3.483113e-01	7.855885e-02	2.697525e-01
273           	-9.556902e-02	3.903853e-01	3.482756e-01	7.856877e-02	2.697068e-01
274           	-9.554224e-02	3.902825e-01	3.482403e-01	7.857792e-02	2.696624e-01
275           	-9.551643e-02	3.901830e-01	3.482049e-01	7.858600e-02	2.696189e-01
276           	-9.549145e-02	3.900861e-01	3.481682e-01	7.859265e-02	2.695756e-01
277           	-9.546710e-02	3.899909e-01	3.481293e-01	7.859753e-02	2.695317e-01
278           	-9.544333e-02	3.898973e-01	3.480874e-01	7.860037e-02	2.694870e-01
279           	-9.541980e-02	3.898039e-01	3.480420e-01	7.860119e-02	2.694408e-01
280           	-9.539644e-02	3.897104e-01	3.479935e-01	7.860029e-02	2.693932e-01
281           	-9.537320e-02	3.896167e-01	3.479426e-01	7.859812e-02	2.693445e-01
282           	-9.535004e-02	3.895231e-01	3.478905e-01	7.859520e-02	2.692953e-01
283           	-9.532708e-02	3.894302e-01	3.478373e-01	7.859158e-02	2.692457e-01
284           	-9.530423e-02	3.893378e-01	3.477841e-01	7.858782e-02	2.691963e-01
285           	-9.528148e-02	3.892458e-01	3.477315e-01	7.858426e-02	2.691472e-01
286           	-9.525877e-02	3.891538e-01	3.476800e-01	7.858124e-02	2.690988e-01
287           	-9.523606e-02	3.890616e-01	3.476302e-01	7.857903e-02	2.690512e-01
288           	-9.521328e-02	3.889687e-01	3.475818e-01	7.857762e-02	2.690042e-01
289           	-9.519037e-02	3.888751e-01	3.475342e-01	7.857672e-02	2.689575e-01
290           	-9.516725e-02	3.887807e-01	3.474863e-01	7.857592e-02	2.689104e-01
291           	-9.514391e-02	3.886859e-01	3.474375e-01	7.857485e-02	2.688627e-01
292           	-9.512036e-02	3.885909e-01	3.473875e-01	7.857338e-02	2.688141e-01
293           	-9.509662e-02	3.884961e-01	3.473365e-01	7.857165e-02	2.687649e-01
294           	-9.507258e-02	3.884008e-01	3.472860e-01	7.857039e-02	2.687156e-01
295           	-9.504837e-02	3.883057e-01	3.472358e-01	7.856951e-02	2.686663e-01
296           	-9.502398e-02	3.882109e-01	3.471868e-01	7.856942e-02	2.686174e-01
297           	-9.499953e-02	3.881169e-01	3.471392e-01	7.857006e-02	2.685691e-01
298           	-9.497490e-02	3.880228e-01	3.470940e-01	7.857208e-02	2.685219e-01
299           	-9.495011e-02	3.879287e-01	3.470512e-01	7.857551e-02	2.684757e-01
300           	-9.492515e-02	3.878344e-01	3.470107e-01	7.858019e-02	2.684305e-01
301           	-9.490018e-02	3.877405e-01	3.469720e-01	7.858580e-02	2.683862e-01
302           	-9.487513e-02	3.876469e-01	3.469347e-01	7.859223e-02	2.683425e-01
303           	-9.485005e-02	3.875535e-01	3.468987e-01	7.859929e-02	2.682994e-01
304           	-9.482496e-02	3.874605e-01	3.468636e-01	7.860683e-02	2.682567e-01
305           	-9.479984e-02	3.873679e-01	3.468292e-01	7.861474e-02	2.682144e-01
306           	-9.477468e-02	3.872756e-01	3.467952e-01	7.862294e-02	2.681723e-01
307           	-9.474945e-02	3.871834e-01	3.467616e-01	7.863137e-02	2.681303e-01
